names,couple_number,judge_enrique,judge_main_gloria,judge_lita,judge_daniela,judge_cesar,total_score,qualified
César M. Guapaya y Brigitte O Yturrizaga,257,5,5,6,5,6,27,0
Ángel Ynocente y Valeria Viacaba,258,6,6,6,6,5,29,1
Pedro Pachas y Fiorella Cornejo,259,6,4,7,6,5,28,1
Ismael Montero y Zulema Bazán,260,5,6,6,6,5,28,1
Pedro Astocondor y Daniela Gironda,261,5,4,6,5,5,25,0
Bryan José Silva y Mayte Hinostroza,262,6,6,7,6,6,31,1
Héctor Acuña y Desiré Patiño,263,6,5,7,6,6,30,1
Jesús Vallejos y Thais Prada,264,6,6,6,6,5,29,1
Alessandro Ramos y Hana Herrera,265,6,5,7,7,6,31,1
Pedro Albornoz y Claudia Vega,266,5,5,6,5,5,26,0
Jefferson Mogollón y Yasmín Arias,267,4,4,6,4,5,23,0
Roberto Pereda y Pamela L. Pereda,268,5,4,6,5,5,25,0
