names,couple_number,judge_enrique,judge_main_gloria,judge_lita,judge_daniela,judge_cesar,total_score,qualified
Jesús Zúñiga y María Fernanda Zúñiga,358,5,4,6,5,4,24,0
Haylu Valery Condori y Mario Rildo Fuertes,359,5,5,6,6,6,28,1
Nicolás Mendoza y Sonia Mendoza ,360,6,6,6,6,6,30,1
Matías Díaz Tantalean y Karla Tantalean ,361,5,5,5,4,5,24,0
Camila Portal y Carlos Sampen ,362,5,5,6,5,4,25,0
Alessia Navarro y Ángel Ynocente ,363,5,5,6,6,5,27,1
Evelin Gaona Paredes y Ángel Luna ,364,5,4,5,5,4,23,0
Mayaluz Carrera Villar y José Manuel Carrera ,365,4,6,6,5,6,27,1
Ricardo Silva Dávalos y Dianira Dávalos ,366,5,5,6,6,4,26,1
Merecedles Gervassi y Antonio García,367,,,,,,0,2
Szwakopf y Diego Fernández,368,,,,,,0,2
Victoria Cárdenas y David Cárdenas ,369,6,4,6,5,6,27,1
