names,couple_number,judge_enrique,judge_main_gloria,judge_lita,judge_daniela,judge_cesar,total_score,qualified
Alexis López y Maruxy Oviedo,292,5,5,5,5,5,25,1
Eriberto Melendro y Rosa M. Álvarez ,293,,,,,,0,2
Carlos Lezcano y Salet Bobilla ,294,6,6,6,6,6,30,1
Jimi Carrera y Abigail Ramos ,295,5,4,6,5,4,24,0
Jheriko Lagos y Camila Portal ,296,5,5,6,5,4,25,1
Dayron Aoki Saíto y Tatiana Loayza ,297,6,6,6,6,4,28,1
Piero A. Carmen y Jennifer K. Herrera ,298,5,5,5,5,5,25,1
Ismael Vellón y Estrella López ,299,4,4,5,4,4,21,0
Fabrizio Vargas y Miriam Zumaeta ,300,5,4,6,5,4,24,0
Luis Alejandro Bocanegra y Sarita Corina Vilela ,301,6,4,6,6,6,28,1
Nicolás Mendoza y Natalia Venegas ,302,5,4,6,5,4,24,0
Mauricio Aguilar y Aprhil Velazco ,303,6,5,5,6,5,27,1
