id,names
1,"César M. Guapaya y Brigitte O Yturrizaga"
2,"Ángel Ynocente y Valeria Viacaba"
3,"Pedro Pachas y Fiorella Cornejo"
4,"Ismael Montero y Zulema Bazán"
5,"Pedro Astocondor y Daniela Gironda"
6,"Bryan José Silva y Mayte Hinostroza"
7,"Héctor Acuña y Desiré Patiño"
8,"Jesús Vallejos y Thais Prada"
9,"Alessandro Ramos y Hana Herrera"
10,"Pedro Albornoz y Claudia Vega"
11,"Jefferson Mogollón y Yasmín Arias"
12,"Roberto Pereda y Pamela L. Pereda"
13,"César González y Ainhoa Moran"
14,"Gonzalo Ugarte y Emilie Leana"
15,"Sebastián R. León y Nicole Alondra Torres"
16,"José Luis Sagastegui y Andrea Lucía Mendoza"
17,"Jhostyn Vicente y Giuliana Monterroso"
18,"Gia Brunela Díaz Santamaria"
19,"Jelena Jazmine Pacheco Vernal"
20,"Nataly Correa López"
21,"Arantxa Flores Mallqui"
22,"Yajaira Chiluisa Duran"
23,"Ainhoa Montserrate Herrera"
24,"Natalia Pastor Lecca"
25,"Aitana Pimentel Vilches"
26,"Ghilady Thiziana Cumpa Cabezas"
27,"Giovanna Vega Flores"
28,"Ami Kennice Rodríguez Burgos"
29,"Xiomara Andrea Pardo Pinares"
30,"Giorgia Rodríguez Flores"
31,"Alessia Navarro Ucañan"
32,"Victoria Huamán Lino"
33,"Ana Lucía Alvarado Tasso"
34,"Mayaluz Carrera Villar"
35,"Giulia Baldo Sillón"
36,"Ricardo Silva Dávalos"
37,"Claudia Hernández"
38,"Mikayla Valentina Monrroy Martínez"
39,"Claudia Martín"
40,"Girady Cortés Fuentes Rivera"
41,"Alessandra Eloísa Gonzáles Sánchez"
42,"Ana Alexandra Giles Azabache"
43,"Eimy Angie Guerra Tantavilca"
44,"Linda Elizabeth Jara López"
45,"Priscila Ramírez León"
46,"Carmen Romero Guerra"
47,"Alexia Vanesa Huerta Loayza"
48,"Sumac Belén Buenaño Vega"
49,"Camila Portal Tantalean"
50,"Yamile Ávila"
51,"Elisabeth Sánchez Soller"
52,"Freshia Liset Ingaroca Ormeño"
53,"Sandra Hernández Romaña"
54,"Albino Quintin Rojas Bernaola"
55,"Nicola Battoia"
56,"Ashley Adonay Barrial Aliaga"
57,"Ana María Ranninger"
58,"Katherine Susan Egoavil Cervantes"
59,"Lucía Núñez Ortega"
